lead_hours,MAE,RMSE,Bias,count,month
0.0,16.65712551916799,18.621456148289553,16.65712551916799,31,2022-01
6.0,16.74201677691552,18.565946946367326,16.74201677691552,31,2022-01
12.0,18.335599265560028,19.78859806285017,18.335599265560028,31,2022-01
18.0,16.71297441605599,18.955216059622195,16.71297441605599,31,2022-01
0.0,17.613565015792847,20.064840525601145,17.613565015792847,28,2022-02
6.0,18.451487040519712,20.447606284757516,18.451487040519712,28,2022-02
12.0,20.84129092863628,21.957364856579368,20.84129092863628,28,2022-02
18.0,18.09403520992824,19.629622591241127,18.09403520992824,28,2022-02
0.0,9.135140634352162,10.12711808493281,9.135140634352162,31,2022-03
6.0,9.585899580678632,10.406186356496104,9.585899580678632,31,2022-03
12.0,12.07056972211407,12.820751759400979,12.07056972211407,31,2022-03
18.0,9.34561691668726,10.53220094857804,9.336466866923915,31,2022-03
0.0,11.788537619113923,13.825232335182692,11.788537619113923,30,2022-04
6.0,14.632741537888846,16.19443871877314,14.632741537888846,30,2022-04
12.0,18.51264002064864,20.189447027165265,18.51264002064864,30,2022-04
18.0,13.936090149084727,15.915671674348427,13.936090149084727,30,2022-04
0.0,10.034959342787342,11.212819050020638,10.034959342787342,31,2022-05
6.0,12.405874720696481,14.118715607751,12.405874720696481,31,2022-05
12.0,15.502929409088626,17.258448932682153,15.33471151321165,31,2022-05
18.0,11.942965444441764,12.602528864418295,11.942965444441764,31,2022-05
0.0,7.352371917565663,8.187496124802623,7.352371917565663,30,2022-06
6.0,10.412329361438752,11.381897168866585,10.412329361438752,30,2022-06
12.0,12.036151782671611,13.308807937256603,12.036151782671611,30,2022-06
18.0,10.22462975859642,11.023833318241577,10.22462975859642,30,2022-06
0.0,10.418168021017506,11.121669997833648,10.39155712973687,31,2022-07
6.0,13.462500143051148,14.127549620317547,13.462500143051148,31,2022-07
12.0,15.654470903642716,16.519707923628868,15.654470903642716,31,2022-07
18.0,13.755915563337265,14.789154186127655,13.755915563337265,31,2022-07
0.0,6.172350283591978,7.182289086244776,6.122721564385198,31,2022-08
6.0,8.464520968352595,9.173690955218218,8.464520968352595,31,2022-08
12.0,10.583506104253953,11.927833381343074,10.340475211604948,31,2022-08
18.0,7.508060240745545,8.721635169366806,7.508060240745545,31,2022-08
0.0,9.043601896762848,10.716501106440084,9.043601896762848,30,2022-09
6.0,10.595277935465178,12.295221607108989,10.595277935465178,30,2022-09
12.0,13.287469900846482,14.746774710220254,13.253472511370976,30,2022-09
18.0,9.37847687760989,11.477007156205257,9.058166590134304,30,2022-09
0.0,12.242380694420106,13.199123472312362,12.242380694420106,31,2022-10
6.0,11.770139393498821,12.831876101386152,11.770139393498821,31,2022-10
12.0,15.501074560226932,16.470213145354116,15.501074560226932,31,2022-10
18.0,11.787091002156657,13.102977005231205,11.787091002156657,31,2022-10
0.0,11.342765285174051,12.885402471843035,11.342765285174051,30,2022-11
6.0,12.566584828694662,14.042892811299257,12.566584828694662,30,2022-11
12.0,14.197544955213864,15.451937097013573,14.197544955213864,30,2022-11
18.0,13.199712339639664,14.759017594690304,13.199712339639664,30,2022-11
0.0,12.431098978750168,14.12282965107291,12.431098978750168,31,2022-12
6.0,12.049558525316177,13.989443336663607,12.049558525316177,31,2022-12
12.0,12.450213136980611,14.139223599621445,12.450213136980611,31,2022-12
18.0,12.636442882783951,14.432475386293353,12.636442882783951,31,2022-12
